,1,2,3,4,5,6,7,8,9,10
298,6.3,0.1,6.3,4.7,13.6,1.5,0.7,3.3,12.6,17.5
299,0,0,1.1,0,0,0,1.2,0,1.1,3.2
300,50.3,61.5,116.8,151.8,101.4,233.2,126.4,147.8,88.3,150.5
301,0,0,0,0,2.1,0,0,0,0,0
302,57.4,67.4,139.7,169.3,168.1,273.3,92.6,156.4,54.7,64.9
303,37.8,44.7,57,79.4,81.2,71,136.5,233.8,89.5,88.3
304,2.2,2,5.2,6.9,7.2,7.5,2.5,5.2,3.8,3.4
305,0,0,0,0,0.1,0.1,0,0,1.5,0
306,10.6,12.3,42.3,36.3,30.5,38.4,87.7,73.4,35.3,121.5
307,0,0,0,0,0,0,0,0,0,0
308,48.6,25.2,157.3,56.3,38.6,67.5,58.1,14.2,124.9,10.5
309,0,0.4,0,0,0,0,9.9,0,0.2,7.9
310,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0
312,28.6,23.4,22.8,24.8,71.7,124.8,140.9,65.6,91.5,102.7
313,238,303.7,544.4,427.9,706.8,1016.6,285.9,149,77.1,173.8
314,143.5,146.2,311.6,335.9,421.9,588.8,182.5,199.8,169,359.7
315,13.8,11.7,3.2,12.9,60.9,61.7,0.8,0,0,0.3
316,23.9,38.8,97.6,44.4,75.1,104.3,178.9,26.9,37.6,42.8
317,1636.6,2030.3,3385.8,3230.1,3929.5,5878.2,2482,3499.8,2298.8,2656
318,2.7,6.3,6.7,4,5,22.8,11.2,20.4,20.9,50.3
319,100.1,96.2,154.8,200.6,248.9,289.5,207.4,320.2,358.4,582.3
320,93.5,192.1,251.1,256.4,276.1,508.4,427.3,487.8,329.1,392.3
321,0,0,0,0,0,0,0,0,0,0
322,63.9,62.5,137.6,55.9,85.6,109.2,296.4,227.3,219.4,327.7
323,42.7,55,110.9,115.1,112.4,182.1,102.1,127.7,67.1,182.5
324,414.3,379.3,646.5,536.7,651.5,808.7,583.6,563.6,680.1,796.5
325,306.8,271.8,561.3,544.8,758.4,1225.6,382.7,724.8,561.1,968
326,24.5,70.4,78.8,89.7,86.9,240.3,57.8,241.2,57.1,36.1
327,267.3,224.8,370.4,277.6,309.1,467.5,302.7,585.6,574.5,737.6
328,797.1,813.3,1579.8,1275.2,2347.9,2786.6,1771,1828.5,1492.9,1791.2
329,2.2,2.5,1.7,6.3,1.1,8.5,0.8,2.1,2.6,3.2
330,0,0,0,0,0,0.1,0.1,0,0,0
331,13.2,1.9,10,7.4,29.4,7.3,23.7,7.4,0.5,29.1
332,2.1,1.1,3.7,3,2,5.6,4.7,7.4,6.6,13.7
333,81.4,102.2,243.3,204.1,284.2,351.3,64.9,104.9,100,211.5
334,80,93.1,115.3,197.2,83.2,114.7,86.5,115.1,232.5,214
335,0,0,0,0,0,0,0,0,0,0
336,18,33.6,38,52.3,104.6,24.1,70.5,56.5,101.6,143
337,2802,2898.1,5149.5,4996.8,4901.1,6092.8,3178,3065.5,6320.7,6416.1
338,0,0,0,0,0,0.1,0,0,0,0
339,7.8,3.1,2.7,8.3,4.2,22.5,1.4,0.3,2.1,2.3
340,99.2,109.1,104,123.6,137.4,153.1,55.4,170.6,221,238.7
341,137.4,62.3,117.8,190.4,211.9,167.3,180.3,142.7,67.9,72.3
342,1.6,1.4,8.8,2.1,2.5,1.6,2.3,1.1,4.5,2.6
343,7.9,15.3,7.6,9.1,32.1,3.1,20.1,0.9,0.7,0.3
344,4.6,4.7,1.2,9.9,5.5,1,26.7,41.3,66.2,77.2
345,5.3,1.7,4.5,4.1,2.6,1.6,51.1,35.5,60.7,68.1
346,0.3,0.5,0.7,1.1,0.7,1.1,0.8,1.5,2.2,3.1
347,110.9,128.6,159.2,195.8,317.6,257.1,189,133.1,171.6,257.1
348,28.1,20.5,50.1,85.5,83.1,80.9,44.9,74.8,32.5,49
349,14.1,16.3,20.7,17.5,16,47.4,63.7,61.9,24.8,70.9
350,12.2,13.1,16,15.4,33.7,37.5,67.3,105.8,80.3,85.7
351,0,0,1,0,0,0,0,0,0,5
352,0,0.2,0,0,0,0,0,0,0,0
353,10.4,25.3,22.9,20.3,38.2,64.3,27.3,98.5,55,89.1
354,10.4,13.3,17,3.9,11.7,13,38.6,0.1,7.9,0.9
355,25.3,46.5,44.5,25.4,32.9,28.2,8.8,22.2,151,33.8
356,10.6,12.4,18.1,27.5,15.8,63.8,6.4,10.6,20.9,22.8
357,74.1,88.7,169.4,114.5,158.9,255.2,298.7,438.5,214.7,98.1
358,60,75.6,164.5,176.5,164.6,285.5,162.5,245.4,140.3,149.2
359,0,0,0,0,0,1.9,0,8.9,0,0
360,15.5,28.4,42.9,18.1,39.2,19.6,55.3,21.2,46.1,11.1
361,109.6,131.3,142,193.1,168.2,181.5,301,227.3,187.1,175.6
362,306.3,545.7,1005.1,1015.3,1193.4,1554.4,859.4,1478.8,976.7,832.5
363,0,0,0,0,0,0,0,0,0,0
364,9.3,7.6,12.3,21,17.3,37.3,28,13.7,3.4,10.1
365,88.9,60.1,92.3,148.8,106.4,210.6,72.2,244.5,69.7,205.5
366,694.2,796.8,1874.4,1827.2,1855.6,2137.8,1502.7,1350.7,1389.7,1215.9
367,68.8,100.1,185.3,165.7,119,265.5,110.9,279,134.3,104
368,167.2,151.5,213.4,244.4,331.3,288.8,310,746.5,239.5,308.7
369,0.7,0.7,0.5,0,0.1,0.1,0,0,0.3,0
